,SKU,Store,Register,TRANNUM,SEQ,Saledate,Stype,Quantity,MIC,OrigiPrice,AMT,InterID
11040,2695,9806,453,59700,825008687,2005/7/20,P,1,34,34,34,192900013
11041,2695,9806,473,50800,0,2004/9/15,R,1,34,25.5,25.5,222700033
11042,2695,9806,483,42800,793800486,2005/7/21,P,1,34,34,34,65100015
11043,2695,9806,513,80700,0,2004/9/18,P,1,34,25.5,25.5,691500084
11044,2695,9806,513,94900,551704040,2005/7/25,P,1,34,34,34,757300012
11045,2695,9806,533,53000,635606122,2005/4/20,P,1,34,34,34,613100010
11046,2695,9806,533,74300,0,2005/3/1,P,1,34,25.5,25.5,578700010
11047,2695,9806,543,79800,0,2004/11/23,P,1,34,34,34,903200014
11048,2695,9806,563,32700,0,2005/7/26,P,1,34,34,34,501400013
11049,2695,9806,573,3000,0,2005/3/2,P,1,34,25.5,25.5,877700011
11050,2695,9806,633,17900,0,2005/6/8,P,1,34,34,34,772500011
11051,2695,9806,633,17900,0,2005/6/8,P,1,34,34,34,772600011
11052,2695,9806,633,17900,0,2005/6/8,P,1,34,34,34,772700011
11053,2695,9806,633,17900,0,2005/6/8,P,1,34,34,34,772800011
11054,2695,9806,633,17900,0,2005/6/8,P,1,34,34,34,772900011
11055,2695,9806,633,94400,0,2004/9/27,P,1,34,25.5,25.5,604100027
11056,2695,9806,643,79700,0,2004/9/27,P,1,34,25.5,25.5,604200027
11057,2695,9806,653,39700,0,2005/6/9,P,1,34,34,34,382100012
11058,2695,9806,683,46000,0,2004/9/29,P,1,34,25.5,25.5,508200105
11059,2695,9806,703,55700,0,2004/9/30,P,1,34,25.5,25.5,790100118
11060,2695,9806,743,3500,237708724,2005/8/4,P,1,34,34,34,8600017
11061,2695,9806,753,44200,181008783,2005/1/10,P,1,34,34,34,377100012
11062,2695,9806,773,59000,914308093,2005/3/12,P,1,34,25.5,25.5,310600022
11063,2695,9806,783,52500,578208811,2005/1/12,P,1,34,34,34,554300012
11064,2695,9806,783,89300,0,2005/8/6,P,1,34,34,34,848800032
11065,2695,9806,803,22300,59606136,2005/3/14,P,1,34,25.5,25.5,47000010
11066,2695,9806,803,52300,710209064,2004/10/7,P,1,34,25.5,25.5,860700016
11067,2695,9806,823,40600,812804299,2005/1/14,P,1,34,34,34,580300018
11068,2695,9806,843,44700,288301795,2005/5/4,P,1,34,34,34,403100011
11069,2695,9806,863,64000,517707349,2004/12/6,P,1,34,34,34,939400019
11070,2695,9806,883,34700,694004399,2005/6/20,P,1,34,34,34,936100009
