,index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,3706,frozenset({'6782521'}),frozenset({'6792521'}),0.07096774193548387,0.07146401985111663,0.06054590570719603,0.8531468531468531,11.938131313131313,0.055474265588729685,6.322887864823348
1,3707,frozenset({'6792521'}),frozenset({'6782521'}),0.07146401985111663,0.07096774193548387,0.06054590570719603,0.8472222222222222,11.938131313131313,0.055474265588729685,6.0809384164222875
2,9149,frozenset({'6480353'}),"frozenset({'6470353', '6490353'})",0.0794044665012407,0.06699751861042183,0.05806451612903226,0.7312500000000001,10.914583333333335,0.05274461390686477,3.4716371400542454
3,9144,"frozenset({'6470353', '6490353'})",frozenset({'6480353'}),0.06699751861042183,0.0794044665012407,0.05806451612903226,0.8666666666666668,10.914583333333335,0.05274461390686477,6.9044665012407025
4,2931,frozenset({'5678634'}),frozenset({'5548634'}),0.07394540942928039,0.07692307692307693,0.06104218362282878,0.825503355704698,10.731543624161073,0.055354075205191824,5.289940828402368
5,2930,frozenset({'5548634'}),frozenset({'5678634'}),0.07692307692307693,0.07394540942928039,0.06104218362282878,0.7935483870967741,10.731543624161073,0.055354075205191824,4.485576923076922
6,3447,frozenset({'6402521'}),frozenset({'6412521'}),0.06600496277915632,0.07344913151364764,0.0511166253101737,0.7744360902255639,10.543842714895348,0.04626861811845403,4.107708850289495
7,3446,frozenset({'6412521'}),frozenset({'6402521'}),0.07344913151364764,0.06600496277915632,0.0511166253101737,0.6959459459459459,10.543842714895348,0.04626861811845403,3.071805900192997
8,2716,frozenset({'4752521'}),frozenset({'4762521'}),0.07543424317617867,0.07741935483870968,0.060049627791563275,0.7960526315789472,10.282346491228068,0.05420955735211718,4.523621227887614
9,2717,frozenset({'4762521'}),frozenset({'4752521'}),0.07741935483870968,0.07543424317617867,0.060049627791563275,0.7756410256410255,10.282346491228068,0.05420955735211718,4.120921658986173
10,9148,frozenset({'6490353'}),"frozenset({'6470353', '6480353'})",0.08238213399503722,0.06898263027295286,0.05806451612903226,0.7048192771084338,10.217344196931613,0.05238157983855575,3.154058844381426
11,9145,"frozenset({'6470353', '6480353'})",frozenset({'6490353'}),0.06898263027295286,0.08238213399503722,0.05806451612903226,0.841726618705036,10.217344196931611,0.05238157983855575,5.797676517031355
12,2704,frozenset({'4732521'}),frozenset({'4762521'}),0.06650124069478908,0.07741935483870968,0.0511166253101737,0.7686567164179106,9.928482587064678,0.045968142159609385,3.9879292403746116
13,2705,frozenset({'4762521'}),frozenset({'4732521'}),0.07741935483870968,0.06650124069478908,0.0511166253101737,0.6602564102564102,9.928482587064677,0.045968142159609385,2.74765672550213
